Assembly	Illumina coverage	PacBio coverage	Contamination	Contig	Length	Number
megahit	1X	-	0%	correct	2884756	2171
megahit	1X	-	0%	ambiguous	4307745	2511
megahit	1X	-	0%	misassembled	550925	357
megahit	1X	-	0%	unaligned	7328	6
megahit	1X	-	0%	others	3315	3
metaspades	1X	-	0%	correct	4161882	3187
metaspades	1X	-	0%	ambiguous	4567094	2683
metaspades	1X	-	0%	misassembled	445534	227
metaspades	1X	-	0%	unaligned	5496	4
metaspades	1X	-	0%	others	0	0
spades	1X	-	0%	correct	4930780	3476
spades	1X	-	0%	ambiguous	4021613	2311
spades	1X	-	0%	misassembled	4794871	2931
spades	1X	-	0%	unaligned	25173	19
spades	1X	-	0%	others	62198	36
megahit	2X	-	0%	correct	32288426	22204
megahit	2X	-	0%	ambiguous	11329308	4780
megahit	2X	-	0%	misassembled	1723221	1002
megahit	2X	-	0%	unaligned	8920	7
megahit	2X	-	0%	others	4977	4
metaspades	2X	-	0%	correct	42389033	29099
metaspades	2X	-	0%	ambiguous	11215978	4374
metaspades	2X	-	0%	misassembled	1624307	688
metaspades	2X	-	0%	unaligned	9340	6
metaspades	2X	-	0%	others	4346	1
spades	2X	-	0%	correct	38304922	24879
spades	2X	-	0%	ambiguous	8390850	3041
spades	2X	-	0%	misassembled	17593195	8462
spades	2X	-	0%	unaligned	18829	11
spades	2X	-	0%	others	84153	48
megahit	5X	-	0%	correct	169638385	53103
megahit	5X	-	0%	ambiguous	12623827	3193
megahit	5X	-	0%	misassembled	2068908	431
megahit	5X	-	0%	unaligned	0	0
megahit	5X	-	0%	others	0	0
metaspades	5X	-	0%	correct	174840065	48114
metaspades	5X	-	0%	ambiguous	10614050	1983
metaspades	5X	-	0%	misassembled	4169961	640
metaspades	5X	-	0%	unaligned	10416	4
metaspades	5X	-	0%	others	0	0
spades	5X	-	0%	correct	175599958	47713
spades	5X	-	0%	ambiguous	9951555	1858
spades	5X	-	0%	misassembled	8605658	1240
spades	5X	-	0%	unaligned	2249	2
spades	5X	-	0%	others	0	0
megahit	10X	-	0%	correct	190324845	14769
megahit	10X	-	0%	ambiguous	12910441	3489
megahit	10X	-	0%	misassembled	1672279	63
megahit	10X	-	0%	unaligned	0	0
megahit	10X	-	0%	others	0	0
metaspades	10X	-	0%	correct	188054245	10241
metaspades	10X	-	0%	ambiguous	11644520	2244
metaspades	10X	-	0%	misassembled	7172134	206
metaspades	10X	-	0%	unaligned	7335	4
metaspades	10X	-	0%	others	0	0
spades	10X	-	0%	correct	189203005	11364
spades	10X	-	0%	ambiguous	10752121	2379
spades	10X	-	0%	misassembled	9352071	241
spades	10X	-	0%	unaligned	1121	1
spades	10X	-	0%	others	0	0
megahit	20X	-	0%	correct	190861346	12876
megahit	20X	-	0%	ambiguous	12895904	3507
megahit	20X	-	0%	misassembled	1970120	30
megahit	20X	-	0%	unaligned	0	0
megahit	20X	-	0%	others	0	0
metaspades	20X	-	0%	correct	188181506	6959
metaspades	20X	-	0%	ambiguous	11238348	2086
metaspades	20X	-	0%	misassembled	10149466	168
metaspades	20X	-	0%	unaligned	7586	4
metaspades	20X	-	0%	others	0	0
spades	20X	-	0%	correct	190877123	9504
spades	20X	-	0%	ambiguous	10870719	2415
spades	20X	-	0%	misassembled	8542764	123
spades	20X	-	0%	unaligned	1121	1
spades	20X	-	0%	others	0	0
megahitCap3	10X	1X	0%	correct	230007146	15190
megahitCap3	10X	1X	0%	ambiguous	11591489	1844
megahitCap3	10X	1X	0%	misassembled	7866908	274
megahitCap3	10X	1X	0%	unaligned	0	0
megahitCap3	10X	1X	0%	others	0	0
megahitCap3Stringent	10X	1X	0%	correct	232248958	15674
megahitCap3Stringent	10X	1X	0%	ambiguous	11876477	1973
megahitCap3Stringent	10X	1X	0%	misassembled	6016698	205
megahitCap3Stringent	10X	1X	0%	unaligned	0	0
megahitCap3Stringent	10X	1X	0%	others	0	0
metaspadesCap3	10X	1X	0%	correct	230755410	12195
metaspadesCap3	10X	1X	0%	ambiguous	11362698	1374
metaspadesCap3	10X	1X	0%	misassembled	13965873	424
metaspadesCap3	10X	1X	0%	unaligned	0	0
metaspadesCap3	10X	1X	0%	others	0	0
spadesCap3	10X	1X	0%	correct	231102532	12957
spadesCap3	10X	1X	0%	ambiguous	11742140	1451
spadesCap3	10X	1X	0%	misassembled	16001671	469
spadesCap3	10X	1X	0%	unaligned	0	0
spadesCap3	10X	1X	0%	others	0	0
hybridspades	10X	1X	0%	correct	187218272	10221
hybridspades	10X	1X	0%	ambiguous	8791667	1600
hybridspades	10X	1X	0%	misassembled	14367807	320
hybridspades	10X	1X	0%	unaligned	0	0
hybridspades	10X	1X	0%	others	0	0
unicycler	10X	1X	0%	correct	173263205	6482
unicycler	10X	1X	0%	ambiguous	6191286	988
unicycler	10X	1X	0%	misassembled	30316910	589
unicycler	10X	1X	0%	unaligned	3595	3
unicycler	10X	1X	0%	others	0	0
hybridspades	10X	5X	0%	correct	189562468	7004
hybridspades	10X	5X	0%	ambiguous	6394844	957
hybridspades	10X	5X	0%	misassembled	17741861	298
hybridspades	10X	5X	0%	unaligned	0	0
hybridspades	10X	5X	0%	others	0	0
unicycler	10X	5X	0%	correct	162009636	4204
unicycler	10X	5X	0%	ambiguous	5443062	753
unicycler	10X	5X	0%	misassembled	44223580	538
unicycler	10X	5X	0%	unaligned	3595	3
unicycler	10X	5X	0%	others	0	0
hybridspades	10X	0.5X	0%	correct	189537461	11002
hybridspades	10X	0.5X	0%	ambiguous	9909884	1971
hybridspades	10X	0.5X	0%	misassembled	10282930	270
hybridspades	10X	0.5X	0%	unaligned	0	0
hybridspades	10X	0.5X	0%	others	0	0
unicycler	10X	0.5X	0%	correct	176057686	7643
unicycler	10X	0.5X	0%	ambiguous	6773254	1125
unicycler	10X	0.5X	0%	misassembled	26100159	638
unicycler	10X	0.5X	0%	unaligned	3595	3
unicycler	10X	0.5X	0%	others	0	0
hybridspades	10X	-	5%	correct	187036632	10259
hybridspades	10X	-	5%	ambiguous	8813266	1625
hybridspades	10X	-	5%	misassembled	14456376	326
hybridspades	10X	-	5%	unaligned	28738	22
hybridspades	10X	-	5%	others	0	0
megahit	10X	-	5%	correct	190316544	14773
megahit	10X	-	5%	ambiguous	12913498	3490
megahit	10X	-	5%	misassembled	1670453	64
megahit	10X	-	5%	unaligned	19273	16
megahit	10X	-	5%	others	0	0
metaspades	10X	-	5%	correct	188066342	10251
metaspades	10X	-	5%	ambiguous	11624442	2242
metaspades	10X	-	5%	misassembled	7186550	207
metaspades	10X	-	5%	unaligned	22213	16
metaspades	10X	-	5%	others	0	0
spades	10X	-	5%	correct	188938131	11365
spades	10X	-	5%	ambiguous	10701456	2377
spades	10X	-	5%	misassembled	9653329	249
spades	10X	-	5%	unaligned	28168	22
spades	10X	-	5%	others	0	0
unicycler	10X	-	5%	correct	175570468	6359
unicycler	10X	-	5%	ambiguous	6336761	1093
unicycler	10X	-	5%	misassembled	27524025	530
unicycler	10X	-	5%	unaligned	16944	13
unicycler	10X	-	5%	others	0	0
hybridspades	10X	-	10%	correct	187081136	10389
hybridspades	10X	-	10%	ambiguous	8943035	1704
hybridspades	10X	-	10%	misassembled	14176203	325
hybridspades	10X	-	10%	unaligned	154437	116
hybridspades	10X	-	10%	others	7977	6
megahit	10X	-	10%	correct	190384567	14782
megahit	10X	-	10%	ambiguous	12926458	3498
megahit	10X	-	10%	misassembled	1581307	64
megahit	10X	-	10%	unaligned	82993	63
megahit	10X	-	10%	others	5823	4
metaspades	10X	-	10%	correct	188219367	10259
metaspades	10X	-	10%	ambiguous	11654337	2250
metaspades	10X	-	10%	misassembled	7003163	207
metaspades	10X	-	10%	unaligned	92738	68
metaspades	10X	-	10%	others	1064	1
spades	10X	-	10%	correct	189151932	11411
spades	10X	-	10%	ambiguous	10683131	2376
spades	10X	-	10%	misassembled	9473070	247
spades	10X	-	10%	unaligned	152697	115
spades	10X	-	10%	others	7977	6
unicycler	10X	-	10%	correct	175564184	6345
unicycler	10X	-	10%	ambiguous	6349121	1093
unicycler	10X	-	10%	misassembled	27536588	533
unicycler	10X	-	10%	unaligned	63690	45
unicycler	10X	-	10%	others	0	0
hybridspades	10X	-	20%	correct	186998232	10644
hybridspades	10X	-	20%	ambiguous	9278258	1868
hybridspades	10X	-	20%	misassembled	13577116	307
hybridspades	10X	-	20%	unaligned	1196959	917
hybridspades	10X	-	20%	others	43648	29
megahit	10X	-	20%	correct	190337696	14804
megahit	10X	-	20%	ambiguous	12917489	3471
megahit	10X	-	20%	misassembled	1618304	65
megahit	10X	-	20%	unaligned	426966	321
megahit	10X	-	20%	others	23127	18
metaspades	10X	-	20%	correct	188303773	10302
metaspades	10X	-	20%	ambiguous	11666269	2247
metaspades	10X	-	20%	misassembled	6911208	203
metaspades	10X	-	20%	unaligned	439898	324
metaspades	10X	-	20%	others	9440	7
spades	10X	-	20%	correct	189346474	11390
spades	10X	-	20%	ambiguous	10700401	2370
spades	10X	-	20%	misassembled	9273383	249
spades	10X	-	20%	unaligned	1198080	918
spades	10X	-	20%	others	43648	29
unicycler	10X	-	20%	correct	176902255	6426
unicycler	10X	-	20%	ambiguous	6449663	1124
unicycler	10X	-	20%	misassembled	26008378	499
unicycler	10X	-	20%	unaligned	284303	187
unicycler	10X	-	20%	others	26616	14
